Comment,Designator,Footprint,LCSC
LED,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48",custom:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder_simple,
10K,"RN1,RN2,RN3,RN4,RN5,RN6,RN7,RN8,RN9,RN10,RN11,RN12",Resistor_SMD:R_Array_Convex_4x0603,
74HC595,"U1,U2,U3,U4,U5,U6",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,
JST SH,"J2,J3",connectors:JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,
10K,"R1,R2",Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Pin Headers,J0,custom:PinHeader_1x08_P2.54mm_Vertical_simple_pad2gnd,
