Designator,Mid X,Mid Y,Layer,Rotation
J1,55.50,-43.60,T,180.00
J2,84.50,-43.60,T,180.00
J3,64.75,-23.50,B,0.00
J4,75.25,-23.50,B,0.00
J5,58.60,-35.98,T,90.00
LED1,58.75,-44.25,T,90.00
LED2,60.25,-44.25,T,90.00
LED3,61.75,-44.25,T,90.00
LED4,63.25,-44.25,T,90.00
LED5,64.75,-44.25,T,90.00
LED6,66.25,-44.25,T,90.00
LED7,67.75,-44.25,T,90.00
LED8,69.25,-44.25,T,90.00
LED9,70.75,-44.25,T,90.00
LED10,72.25,-44.25,T,90.00
LED11,73.75,-44.25,T,90.00
LED12,75.25,-44.25,T,90.00
LED13,76.75,-44.25,T,90.00
LED14,78.25,-44.25,T,90.00
LED15,79.75,-44.25,T,90.00
LED16,81.25,-44.25,T,90.00
Q1,76.25,-49.00,T,90.00
Q2,79.00,-48.25,T,90.00
R1,78.50,-50.50,T,270.00
RN0,70.00,-22.25,T,270.00
RN1,62.60,-40.50,T,90.00
RN2,67.00,-40.50,T,90.00
RN3,73.00,-40.50,T,90.00
RN4,77.40,-40.50,T,90.00
SW0,70.00,-49.60,T,0.00
U1,64.75,-27.75,T,90.00
U2,75.25,-27.75,T,90.00
