Comment,Designator,Footprint,LCSC
Green,LED3,LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C7496801
RotaryEncoder_Switch_MP,SW1,electromechanical:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
Ice Blue,LED1,LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C7496805
White,LED2,LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C20613596
10K,"RN1,RN2",discrete:R_Array_Convex_4x0603,C110924
JST SH,J1,connector:JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,C7433426
10n,"C2,C3",discrete:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1589
Pin headers,J2,custom:PinHeader_1x05_P2.54mm_Vertical_simple_pad1gnd,
1u,C1,discrete:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C5199872
