Designator,Mid X,Mid Y,Layer,Rotation
C1,112.75,-56.50,T,90.00
C2,111.25,-56.50,T,90.00
C3,110.00,-56.50,T,90.00
C4,105.50,-56.75,T,270.00
C5,108.00,-52.50,T,90.00
C6,106.00,-52.50,T,90.00
C7,114.25,-70.50,T,180.00
C8,96.50,-57.00,T,90.00
C9,95.00,-57.00,T,90.00
C10,93.75,-57.00,T,90.00
C11,89.25,-56.75,T,270.00
C12,88.50,-52.75,T,90.00
C13,90.00,-52.75,T,90.00
C14,115.50,-74.00,B,90.00
D1,90.50,-72.50,T,180.00
D2,114.25,-82.50,T,0.00
D3,106.00,-74.25,T,270.00
F1,116.50,-78.00,T,180.00
J0,106.00,-83.00,B,0.00
J1,106.00,-83.00,T,180.00
J2,116.50,-61.50,T,90.00
J3,83.50,-61.50,T,270.00
J4,93.25,-84.75,B,180.00
J5,116.50,-61.50,B,270.00
L1,101.25,-55.50,T,90.00
L2,87.50,-56.75,T,90.00
LED1,100.00,-63.00,T,0.00
LED2,115.00,-75.50,T,0.00
M1,89.25,-75.90,T,0.00
PIX1,94.00,-64.00,T,90.00
PIX2,106.00,-64.00,T,90.00
Q1,83.75,-76.25,T,180.00
Q3,101.25,-74.25,T,180.00
R0,100.00,-64.75,T,180.00
R1,109.50,-53.50,T,90.00
R2,110.50,-53.50,T,270.00
R3,117.00,-75.50,T,0.00
R4,92.50,-53.50,T,90.00
R6,93.50,-53.50,T,270.00
R7,91.50,-53.50,T,270.00
R12,104.25,-74.25,T,270.00
RN1,83.75,-80.50,T,270.00
RN2,83.75,-71.50,T,270.00
SM1,100.00,-59.00,B,180.00
U1,107.75,-56.50,T,90.00
U2,91.50,-56.50,T,90.00
U4,82.50,-67.75,T,270.00
U5,85.00,-67.75,T,270.00
